epoch,accuracy,auc,learning_rate,loss,top3_accuracy,val_accuracy,val_auc,val_loss,val_top3_accuracy
30,0.05459395796060562,0.49811843037605286,1.9999999949504854e-06,3.362339496612549,0.1536075472831726,0.061057332903146744,0.5138422250747681,3.202362298965454,0.1442045122385025
31,0.05509026721119881,0.5000711679458618,1.9999999949504854e-06,3.34662127494812,0.14988522231578827,0.063787542283535,0.4941330850124359,3.200190305709839,0.17076197266578674
32,0.05608288198709488,0.4994065463542938,1.9999999949504854e-06,3.323784828186035,0.15956324338912964,0.0647803395986557,0.4814249277114868,3.206515312194824,0.15760734677314758
2,0.04100750759243965,0.4985184967517853,1.9999999949504854e-06,3.461064577102661,0.12655872106552124,0.04815090447664261,0.47681018710136414,3.3279664516448975,0.10474062711000443
3,0.04435759037733078,0.49814480543136597,1.9999999949504854e-06,3.435375690460205,0.13307277858257294,0.03847108408808708,0.49056288599967957,3.3209877014160156,0.14296351373195648
5,0.05273279920220375,0.5031355023384094,1.9999999949504854e-06,3.307326555252075,0.1566474288702011,0.06775874644517899,0.5058493614196777,3.11216402053833,0.20029784739017487
6,0.05577269196510315,0.502041220664978,1.9999999949504854e-06,3.286180019378662,0.16371983289718628,0.06825514882802963,0.4796765446662903,3.1127994060516357,0.2057582587003708
7,0.05899869650602341,0.5016081929206848,1.9999999949504854e-06,3.2779414653778076,0.1644642949104309,0.07371556013822556,0.5192158818244934,3.1053409576416016,0.21593447029590607
8,0.058006078004837036,0.5055417418479919,1.9999999949504854e-06,3.2591731548309326,0.1693033128976822,0.06850335001945496,0.4935247004032135,3.0978918075561523,0.22958549857139587
9,0.060053352266550064,0.4999084174633026,1.9999999949504854e-06,3.2609386444091797,0.1697375774383545,0.06279473751783371,0.5092328190803528,3.098949670791626,0.19483743607997894
